,context,label
94,Teresa Taylor,0
95,withheld Social security tips Allocated,2
96,"Robinson, May and Rivera Group",1
97,Adams Group Ltd,1
98,Pitts PLC Group,1
99,Hernandez LLC PLC,1
100,"Duarte, Clark and Browning Group",1
101,Nielsen LLC and Sons,1
102,Miller-Thomas Inc,1
103,George Martin,0
104,Arthur Gonzalez,0
105,Steven Davis,0
106,Coleman and Sons and Sons,1
107,Romero-Woods LLC,1
108,Cameron Barnes,0
109,Ortiz-Perez Ltd,1
110,Matthew Fisher,0
111,Internal Revenue If required file,2
112,Miller PLC Group,1
113,code Social security wages Social,2
114,Laura Turner,0
115,instructions forbox   E,2
116,Edward Martin,0
117,code Social security wages Social,2
118,See instructions box  ,2
119,Thomas Frost,0
120,state ID number  State,2
121,ID number  State ,2
122,Ashley Bryant,0
123,D  f address ZIP,2
124,first name initial Last name,2
125,"Coleman, Odom and Evans Ltd",1
126,taxable fail report b Employer,2
127,Keith Ltd Ltd,1
128,"Morales, Williamson and Osborne and Sons",1
129,Derek Goodwin,0
130,Griffith-Thomas Group,1
131,"Pace, Jordan and Peters Ltd",1
132,Tyler Nichols,0
133,"Rhodes, Anderson and Bailey Group",1
134, e firstname initial Last,2
135,"Hernandez, Ruiz and Williams and Sons",1
136,"White, Gregory and Barrett Group",1
137,David Ltd and Sons,1
138,"Rivera, Mitchell and Harrison Ltd",1
139,Maria Davis,0
140,number This information furnished Internal,2
141,Raymond Glenn,0
142,Anderson Inc Inc,1
143,Williamson-Santos PLC,1
144,"Huang, Richardson and Dawson LLC",1
145,security wages Social security tax,2
146,Mayo-Richmond Group,1
147,Local wages tips etc ,2
148,  Other enclosed Notice,2
149, State  State income,2
150,Jennifer Joyce,0
151,Steven Woodard,0
152,  Other enclosed Notice,2
153,name  Nonqualified plans a,2
154,Juan Price,0
155,Cochran-Stephenson Inc,1
156,"Davis, Keller and Perkins and Sons",1
157,se file Copy C For,2
158,Earl Wolf,0
159,Greg Contreras,0
160,Burns-Morrison Ltd,1
161,Annette Harrell,0
162,tips etc  Local income,2
163,Wilson-Wilson LLC,1
164,Andrew Moody,0
165,ZIP code Social security wages,2
166,William Fernandez,0
167,Mary Knox,0
168,Jessica Murphy,0
169,"Jacobson, Chambers and Young Ltd",1
170,Drew Jones,0
171,Carolyn Collins,0
172,Social security tips  Allocated,2
173,Be Filed FEDERAL Tax Return,2
174,Joann Lopez,0
175,Brandy Jones,0
176,  Statutory Retirement b,2
177,file b Employer identification number,2
178,"Campbell, Singh and Diaz and Sons",1
179,Dylan Calderon,0
180,Swanson-Esparza and Sons,1
181,Thomas PLC Ltd,1
182,Michelle Anderson,0
183,"Murphy, Oliver and York Inc",1
184,withheld Medicare wages tips Medicare,2
185,Kevin Weiss,0
186,Lang Ltd Group,1
187,Johnson LLC and Sons,1
188,Angela Ellison,0
189,Susan Meza,0
190,Cohen LLC Group,1
191,Smith-Silva Inc,1
192,Elizabeth Smith,0
193,Dana Miller,0
194,Joshua Mcpherson,0
195,Employer identification number compensation Federal,2
196,Douglas Obrien,0
197,report b Employer identification number,2
198,wages tips  State income,2
199,"Mcdaniel, Cox and Thompson Ltd",1
200,"Chavez, Smith and Campbell LLC",1
201,Carter-Bonilla Group,1
202,furnished Internal Revenue Cut Keep,2
203,Taylor and Sons PLC,1
204,Victoria Morales,0
205,Candace Garcia,0
206,code  State state ID,2
207,Revenue Service Form Statement Copy,2
208,Angela Sawyer,0
209,"Parsons, Cox and Baird LLC",1
210,enclosed Notice c d D,2
211,Michael Herring,0
212,payment  Dependent care benefit,2
213,Dennis Atkinson,0
214,Social security tips Allocated tips,2
215,"Aguilar, Richards and Nichols PLC",1
216,"Novak, Chambers and Allison Inc",1
217,Elizabeth Russo,0
218,Mitchell-Fernandez Ltd,1
219,Jessica Padilla,0
220,James Fritz,0
221,Jordan Johnson,0
222,c G  d f,2
223,state ID number  State,2
224,"Tran, Huff and Gilbert Inc",1
225,identification number compensation Federal income,2
226,"Shah, Nelson and Perez Group",1
227,Sharon Solis,0
228,Michael Alexander,0
229,c  d P ,2
230,Fischer-Fisher LLC,1
231,Frye-Taylor PLC,1
232,income tax withheld c ZIP,2
233,wages tips etc  State,2
234,Social security tips  Allocated,2
235,payment  benefits  ,2
236,Internal Revenue Cut Keep lower,2
237,"Bruce, Morris and Riddle PLC",1
238,tips Allocated tips Control numbe,2
239,"Perry, Pacheco and Levine Ltd",1
240,Amy Allison,0
241,  H  ,2
242,Ryan Nelson,0
243, Local wages tips ,2
244,Tax  Department Revenue Service,2
245,Visit IRS Website STATEMENT OMB,2
246,Donald Coleman,0
247,Nonqualified plans a See instructions,2
248,Bennett LLC and Sons,1
249,"Johnson, Rodriguez and Chan LLC",1
250,Belinda Mccarty,0
251,Vega PLC LLC,1
252, H  f address,2
253,withheld Medicare wages tips Medicare,2
254,Matthew Carroll,0
255,Glass Inc Group,1
256,Chambers-Chapman LLC,1
257,pay X x D ,2
258,Martin Ltd Inc,1
259,Nathan Robinson,0
260,Eric Cannon,0
261,Samuel Larsen,0
262,Michael Shaw,0
263,Stacy Smith,0
264,Dixon-Cruz LLC,1
265,Local  Local income tax,2
266,Kennedy-Reed LLC,1
267,Jennifer Jordan,0
268, Localityname Wage Tax ,2
269,"Davis, Velazquez and Walker and Sons",1
270, Statutor Retirement b employe,2
271,Social security tax withheld Medicare,2
272,sickpay D   Other,2
273,f address ZIP code ,2
274,Heidi Schmitt,0
275,Hopkins Group Ltd,1
276,tax  Locality name Wage,2
277,benefits   e first,2
278,Morgan PLC LLC,1
279,  Statutor Retirement b,2
280, State state ID number,2
281,"Cooper, Spence and Curry Ltd",1
282,"Robinson, Clark and Mason PLC",1
283,Trevor Duncan,0
284,Miranda Thornton,0
285,Daniel Robinson,0
286,"Schultz, Warren and Tanner Ltd",1
287,Christopher Butler,0
288,sickpay   Other enclosed,2
289,Sergio Kelley,0
290,"Tyler, Taylor and Walker and Sons",1
291,Frey-Wong Inc,1
292,Tracy Jones,0
293,Wright Ltd Inc,1
294,fail report b Employer identification,2
295,Chloe Green,0
296,Young PLC Ltd,1
297,file Copy C For Use,2
298,Smith LLC Group,1
299,"Wilson, Bradley and Liu PLC",1
300,Locality name Wage Tax ,2
301,Christian Paul,0
302,Lisa Johnson,0
303,"Cook, Torres and Graham Group",1
304,Katherine Mcmahon,0
305,Stephanie Reeves,0
306,tax withheld Social security tips,2
307,Brock-Jenkins Group,1
308,"Gaines, Alexander and Mcgrath PLC",1
309,Valerie Evans,0
310,Matthew Morgan,0
311,tips Allocated tips Control number,2
312,Local income tax  Locality,2
313,tax  Locality name Wage,2
314,"Bailey, Crawford and Taylor Ltd",1
315,Cruz Inc Ltd,1
316,paymen  Dependent care benefits,2
317,  Statutor Retirement b,2
318,"Hall, Travis and May Ltd",1
319,Andrew Boyle,0
320,Richard Ross,0
321,Steven Phillips,0
322,Nelson Ltd LLC,1
323,"Brennan, Gomez and George and Sons",1
324,Jeffery Hamilton,0
325, Nonqualified plans a See,2
326,Quinn-Allen Ltd,1
327,Robert Williams,0
328,wages Social security tax withheld,2
329, f address ZIP code,2
330,Peters-Grant PLC,1
331,withheld Social security tips Allocated,2
332,sanction may imposed STATEMENT OMB,2
333,Shaw PLC Ltd,1
334,Kim Robinson,0
335,Benjamin Warren,0
336,Todd Davis,0
337,Phyllis Castro,0
338,Hart LLC Inc,1
339,Earl Hale,0
340,Williams LLC PLC,1
341,"Curtis, Sutton and Lewis PLC",1
342, State  State income,2
343,James-Keith PLC,1
344,"Green, Thompson and Williams and Sons",1
345,Loretta Jackson,0
346,Martinez Ltd Group,1
347,Valencia Inc Ltd,1
348,"Patterson, Williams and Collins Group",1
349,Michele Hebert,0
350,tips  Local income tax,2
351, Department Revenue Service Form,2
352,William Rodriguez,0
353,Bailey-Mueller Inc,1
354,Jennifer Rowland,0
355,employe lan sickpay X ,2
356,Underwood and Sons LLC,1
357,Hall Ltd Group,1
358,Gregory Hernandez,0
359,security tips Allocated tips Control,2
360,Cynthia Sexton,0
361,Locality name Wage Tax ,2
362,Hobbs Inc Ltd,1
363,ZIP code   State,2
364,Bruce-Irwin LLC,1
365,file b Employer identification number,2
366,Cut Keep lower portion REISSUED,2
367,Advance EIC payment Dependent care,2
368,Wiley-Carroll LLC,1
369,David Stewart,0
370,Medicare wages tips Medicare tax,2
371,Cruz-Mcdonald Inc,1
372,Veronica Freeman,0
373,Garcia-Parker and Sons,1
374,Barry Dickson,0
375,Martin Castro,0
376,Watkins LLC Inc,1
377,security wages Social security tax,2
378,enclosed Notice c d ,2
379,Charles Collins,0
380,"Diaz, Vang and Jones Ltd",1
381,"Cole, Smith and Warner and Sons",1
382,Terri Ho,0
383, Dependent care benefits ,2
384,Brittney Rhodes,0
385,Nicholas Garcia,0
386,Erin Lee,0
387,Christopher White,0
388,Kimberly Miller,0
389,James Wyatt,0
390,"Scott, Gibson and Dougherty PLC",1
391,  Statutory Retirement b,2
392,care benefits   e,2
393,EL  Wage Tax ,2
394,social security wages Social security,2
395,Soto-Jackson PLC,1
396,This information furnished Internal Revenue,2
397,wages tips  State income,2
398,Ronnie Mason,0
399,Jesse Scott,0
400,income tax withheld c ZIP,2
401,Steven Meyer,0
402,Andrew Murphy,0
403,Retirement b employee plan sick,2
404,Return This information furnished Internal,2
405,Christina Silva,0
406,State state ID number ,2
407, State state ID number,2
408,Robertson-Brown Group,1
409,Last name  Nonqualified plans,2
410,Daryl Maddox,0
411,EIC payment  Dependent care,2
412,Miller-Wilson and Sons,1
413,tax  Locality name ,2
414,number Visit IRS Website STATEMENT,2
415,Copy Be Filed FEDERAL Tax,2
416,ID number  State ,2
417,Porter and Sons LLC,1
418,Harrington-Cook Ltd,1
419,John Henry,0
420,Gabrielle Love,0
421,Richardson LLC Ltd,1
422,Derrick Graham,0
423,wages tips Medicare tax withheld,2
424,Elizabeth Salas,0
425,Charles Collins,0
426,initial Last name  Vonqualified,2
427,Dalton PLC LLC,1
428,Williams Group LLC,1
429,Jones-Gibson Inc,1
430,security tax withheld Medicare wages,2
431,"Dean, Harris and Jensen Inc",1
432,"Evans, Thomas and Hansen LLC",1
433,Benjamin Wright,0
434,  Statutor Retirement b,2
435,Raymond Ray,0
436,enclosed Notice c d ,2
437,Sarah Mendoza,0
438,John Parker,0
439,"Humphrey, Kramer and Haney Inc",1
440,code Social security wages Social,2
441,Susan Fitzpatrick,0
442,Steven Vazquez,0
443,Local income tax  Locality,2
444,Mosley-Vasquez Ltd,1
445,Robinson PLC PLC,1
446,Virginia Wyatt,0
447,Tax  Department ofthe Revenue,2
448,Ronald Adams,0
449, State wages tips ,2
450,Local wages tips etc ,2
451,Local  Local income tax,2
452,Joseph Phillips,0
453,Nicole Gonzalez,0
454,Hill-Adams LLC,1
455,income tax withheld c ZIP,2
456,"Webb, Stevens and Martinez Ltd",1
457,Nathaniel Kelly,0
458,Armstrong PLC Ltd,1
459,Revenue Service Form Statement Copy,2
460,Sharp and Sons Group,1
461,James Noble,0
462,Use nsew file b Employer,2
463,number Visit IRS Website STATEMENT,2
464,Earl Taylor,0
465,"Pearson, Adams and Beck PLC",1
466,Lawrence Simpson,0
467,Bernard Jordan,0
468,"Rice, Davis and Haney PLC",1
469,James Murray,0
470,Shah-Klein and Sons,1
471,"Jimenez, Andrade and Spence Group",1
472,first name initial Last name,2
473,Jerome Wilkins,0
474,security number Visit IRS Website,2
475,Local income tax  Locality,2
476,Melissa Rice,0
477,"Jones, Perez and Moore Inc",1
478,Craig Rios,0
479,Control number Advance EIC payment,2
480,security wages Social security tax,2
481,Courtney Duran,0
482,a See instructionsfor box ,2
483,Samantha Barnes,0
484,Eric Reynolds,0
485,Dunlap-Lee Ltd,1
486,"Hendricks, Thomas and Hawkins LLC",1
487,Gerald Johnson,0
488,Lee-Cantu Inc,1
489,Chad Rubio,0
490,Brian Wood,0
491,Brady-Nelson Ltd,1
492,Evans-Schwartz Group,1
493,Black PLC LLC,1
494,Rogers Group and Sons,1
495,Alexander Haley,0
496,David Kelly,0
497,penalty sanction may imposed STATEMENT,2
498,Russell Smith,0
499,Stephanie Robinson,0
500,negligence penalty sanction may imposed,2
501,Nicholas Walters,0
502,numbe Advance EIC payment ,2
503,Dennis Patterson,0
504,John Scott,0
505,Michael Reed,0
506,Robert Moore,0
507,Danny Vang,0
508,"Clayton, Johnson and Orr Inc",1
509,Richard Johnson,0
510,care benefit  e firstname,2
511,Amanda Woods,0
512,Daniel Prince,0
513,Ballard LLC PLC,1
514,Baker-White and Sons,1
515,Jessica Manning,0
516,John Watkins,0
517,Leonard-Flores Inc,1
518,wages tips etc  State,2
519,state ID number  State,2
520,social security number Visit IRS,2
521,Fernandez-Mason PLC,1
522,Internal Revenue Cut Keep lower,2
523,Retirement b employee plan sickpay,2
524,Employer identification number compensation Federal,2
525,Rebecca Perez,0
526,"Nguyen, Curtis and Mccall Group",1
527,Lindsey Diaz,0
528,Shelly Cole,0
529,X P  Other enclosed,2
530,Joan Barton,0
531,Mitchell-Price Ltd,1
532,George Robles,0
533,"Williams, Mendoza and Collins Ltd",1
534,Form Statement Copy Be Filed,2
535,Patricia Schultz,0
536,Smith-Anderson and Sons,1
537,Alexandria Davis,0
538,Willie Mcdonald,0
539,income tax withheld ZIP code,2
540,Vargas-Hansen LLC,1
541,Richard Hart,0
542,ZIP code Social security wages,2
543,Harris LLC PLC,1
544, f address ZIP code,2
545,Jennifer Jones,0
546,Leslie Cortez,0
547,Susan Castro,0
548,identification number compensation Federal income,2
549,compensation Federal income tax withheld,2
550,Robinson Group LLC,1
551,Russell Bird,0
552,Miller Group Ltd,1
553,Mcdaniel PLC PLC,1
554,Local income tax  Localityname,2
555,Cynthia Frazier,0
556,tax withheld Medicare wages tips,2
557,ZIP code  State state,2
558,Bethany Barnes,0
559,Smith-Duarte Group,1
560,security tax withheld Medicare wages,2
561,Locality name  Wage Tax,2
562,  G  ,2
563,Thompson Inc Inc,1
564,Federal income tax withheld c,2
565,Mark Johnston,0
566,Archer-Collins PLC,1
567,Barbara Wang,0
568,Yoder-Young LLC,1
569,REISSUED social security number This,2
570,State wages tips  State,2
571, D   Statutory,2
572,Ashley Hendricks,0
573,Rivers-Collins Inc,1
574,Jeanette Wallace,0
575,Advance EIC payment  Dependent,2
576,"Edwards, Gonzalez and Good Inc",1
577,    Statutor,2
578,Amanda White,0
579,Bailey LLC Group,1
580,Herrera Inc and Sons,1
581,Danielle House,0
582,Brittany Burton,0
583,Zhang-Sanchez LLC,1
584,Wright-Joseph LLC,1
585,Johnson Group and Sons,1
586,Mike Thomas,0
587,Waller LLC LLC,1
588,Jessica Collins,0
589,Katherine Macias,0
590,Michelle Moore,0
591,Jonathan Clark,0
592,Melissa Powell,0
593,Joseph Spencer,0
594,Tax Return This information furnished,2
595,Jay Carter,0
596,Lisa Ellis,0
597,Hall Group and Sons,1
598,"Pearson, Yu and Ramirez Ltd",1
599,address ZIP code  State,2
600,State  State income tax,2
601,Kyle Ortiz,0
602,initial Last name  Nonqualified,2
603, Allocated tips Control number,2
604,"Jensen, Fernandez and Fleming Ltd",1
605,c ZIP code Social security,2
606,b emplove plan sickpay ,2
607,Calderon-Gomez Ltd,1
608,Hodges-Lopez and Sons,1
609,Ian Fowler,0
610,Dependent care benefits  ,2
611,X X   Other,2
612,negligence penalty sanction may imposed,2
613,Retirement b employee plan sick,2
614,Katherine Singh,0
615,Tax Return This information furnished,2
616,Maria Krause,0
617,Dr. Martin,0
618,Eric Smith,0
619,number Rise v file Visit,2
620,Thomas Hernandez,0
621,Derrick Jimenez,0
622,Brandy Stanley,0
623,Herrera-Miller Ltd,1
624,Ryan Wong,0
625,forbox    ,2
626,Be Filed FEDERAL Tax Return,2
627,Henry Inc PLC,1
628,"Proctor, Prince and Holden PLC",1
629,G   Statutory Retirement,2
630,Joseph Spence,0
631,OMB income taxable fail report,2
632,plan sickpay X  ,2
633,Angela Hebert,0
634,security tips  Allocated tips,2
635,Morgan Sims,0
636,Ronald Miller,0
637,Hernandez-Ferrell Ltd,1
638,benefits   e first,2
639,sickpay X   Other,2
640,Nonqualified plans a See instructions,2
641,security wages Social security tax,2
642,Heather Lee,0
643,number Advance EIC payment Dependent,2
644,a See instructions forbox ,2
645,Gregory Lee,0
646,Smith Group and Sons,1
647,income tax  Locality name,2
648,social security number This information,2
649,required file tax negligence penalty,2
650,Campbell Ltd and Sons,1
651,Patricia Russell,0
652,"Ray, Taylor and Clark PLC",1
653,Weeks Ltd PLC,1
654,State state ID number ,2
655,Gerald Jones,0
656,"Villegas, Hill and Stephens LLC",1
657,Fuller-Campbell PLC,1
658,STATEMENT OMB Use nsew file,2
659,Local wages tips  Local,2
660,Fowler and Sons LLC,1
661,Paul Robinson,0
662,Form Statement se file Copy,2
663,Allen LLC Inc,1
664,Samantha Gray,0
665,Rebecca Galloway,0
666,Other enclosed Notice c P,2
667,Cross LLC PLC,1
668,"Henry, Cunningham and Simpson Inc",1
669,Cardenas-Mora PLC,1
670, f address ZIP code,2
671,Allen-Baldwin Group,1
672,"Vance, Richmond and Cole and Sons",1
673,Megan Frazier,0
674,Nonqualified plans a See instructions,2
675,employe lan sickPay X X,2
676,Matthew Wagner,0
677,Wage Tax  Department Revenue,2
678,Copy Be Filed FEDERAL Tax,2
679,Jennifer Savage,0
680,"Garcia, Campbell and Wheeler Ltd",1
681,income tax withheld c ZIP,2
682,Susan Wilson,0
683,Mitchell Cannon,0
684,Choi LLC and Sons,1
685,Jimmy Griffin,0
686,plans a See instructions forbox,2
687, Locality name MC Wage,2
688,Daniel Wright,0
689,Briana Fischer,0
690,"Liu, Price and Brown PLC",1
691,Hall-Thomas Group,1
692,"Cook, Obrien and Hernandez Group",1
693,Felicia Summers,0
694,Smith-Jones Ltd,1
695,"Brown, Boyd and Bernard Ltd",1
696,Kristi Johnson,0
697,Gabriela Mendoza,0
698,Bruce Young,0
699,Paul Lindsey,0
700,Ronald Jones,0
701,Local  Local income tax,2
702,e firstname initial Last name,2
703,See instructions box  ,2
704,Local wages tips etc ,2
705,David Matthews,0
706,Kristen Rojas,0
707,Taylor Hernandez,0
708,name  Nonqualified plans a,2
709,Trevor Bowman,0
710,tax withheld Social security tips,2
711,Gray LLC Ltd,1
712,identification number compensation Federal income,2
713,Lozano Ltd LLC,1
714,Byrd-Bruce PLC,1
715,Robert Robertson,0
716,Rebecca Miller,0
717,Be Filed FEDERAL Tax Return,2
718,Susan Montgomery,0
719,Stevenson LLC Ltd,1
720,Gregory Johnson,0
721,"Reese, Stewart and Moore Group",1
722,Morales-Richardson Inc,1
723,If required file tax negligence,2
724,Daniel Thompson,0
725,portion REISSUED social security number,2
726,Jordan Ltd PLC,1
727,Smith Group LLC,1
728,Stephanie Mcguire,0
729,Dawn Robinson,0
730,William Leach,0
731,Sarah Marsh,0
732,Cut Keep lower portion REISSUED,2
733,security tips  Allocated tips,2
734,Gonzalez-Martinez Ltd,1
735,"Harmon, Wang and Rodriguez and Sons",1
736,Norris-Watson and Sons,1
737,Taylor Cox,0
738,Medicare wages tips  Medicare,2
739,Holt-Farmer LLC,1
740,Steele and Sons LLC,1
741,Carrie Gonzalez,0
742,Diane Garcia,0
743,ZIP code H  ,2
744,initial Last name  Nonqualified,2
745,Reyes-Hill LLC,1
746,Marshall PLC PLC,1
747,Eric Benson,0
748,Matthew Boyer,0
749,Lisa Webb,0
750,Katie Dunn,0
751,"Anderson, Sutton and Moses Inc",1
752,Johnson-Terry Ltd,1
753,Smith-Johnson Group,1
754,This information furnished Internal Revenue,2
755,"Barnett, Cannon and Wright PLC",1
756,This information furnished Internal Revenue,2
757,Gregory Horn,0
758,plan sickpay x H ,2
759,Local income tax  Locality,2
760,Caleb Bell,0
761,taxable fail report b Employer,2
762,Duffy and Sons Group,1
763,Alexis Browning,0
764,Tracie Porter,0
765,Troy Wong,0
766,number compensation Federal income tax,2
767,OMB income taxable fail report,2
768,Bates-Thomas Ltd,1
769,"Silva, Martin and Brooks PLC",1
770,Justin Thompson,0
771,wages tips Medicare tax withheld,2
772,Price Inc PLC,1
773,Copy Be Filed FEDERAL Tax,2
774,"Moore, Brooks and Taylor PLC",1
775,"Gonzalez, Brown and Willis Inc",1
776,Walker and Sons Ltd,1
777,"Little, Rodriguez and White Group",1
778,Mosley-Barber Inc,1
779,Revenue If required file tax,2
780,Mathews-Graham Inc,1
781,Retirement b employee plan sickpay,2
782,Medina-Powell and Sons,1
783,Jessica Williams,0
784,tax  Local wages tips,2
785,Jennifer Woods,0
786,Steven Garcia,0
787,Austin Murphy,0
788,tips Medicare tax withheld Social,2
789,Maria Austin,0
790,Jeffrey Escobar,0
791,"Beck, Perez and Rose Group",1
792,Marie Ramos,0
793,file b Employer identification number,2
794,Taylor Jimenez,0
795, Nonqualified plans a See,2
796,Michael Cooper,0
797,security wages Social security tax,2
798,Notice c d  f,2
799,Turner-Mcgee LLC,1
800,Ramsey-Leonard Group,1
801,"Smith, Coleman and Roberts LLC",1
802,Daniel Smith,0
803,Advance EIC payment  benefit,2
804,Dependent care benefit  e,2
805,Young-Dawson Group,1
806, f address ZIP code,2
807,Rose Tyler,0
808,Samuel Howard,0
809,Revenue Service Form Statement se,2
810,Freeman-Rodgers LLC,1
811,Lee-Mann LLC,1
812,"Ellison, Brown and Lopez LLC",1
813,Nonqualified plans a See instructionsfor,2
814, Dependent care benefits ,2
815,Alexis Baker,0
816,Henry-Rogers Inc,1
817,Mary Lyons,0
818,X x E  ,2
819,Andrews Inc and Sons,1
820,West-King and Sons,1
821,X G   Other,2
822,"Vazquez, Lynn and Wolf PLC",1
823,Jones Inc and Sons,1
824,Wolf and Sons and Sons,1
825,Carl Powell,0
826,"Clark, Mccoy and Hill Inc",1
827,State income tax  Local,2
828,Thomas Taylor,0
829,othercompensation Federal income tax withheld,2
830,income tax  Local ,2
831, Nonqualified plans a See,2
832, State  State income,2
833, e first name initial,2
834,Tax  Department Revenue Service,2
835,Michelle Brown,0
836,Ramirez Ltd Inc,1
837, Department Revenue Service Form,2
838,Wage Tax  Department Revenue,2
839,"Hunt, Johnson and Cooper Inc",1
840,Shane Lopez,0
841,sanction may imposed STATEMENT OMB,2
842,Clark-Padilla LLC,1
843,Jordan and Sons Group,1
844,Blevins-Hoffman LLC,1
845,"Small, Roth and Morgan PLC",1
846,x G   Other,2
847,Return This information furnished Internal,2
848,Internal Revenue If required file,2
849,Other enclosed Notice c d,2
850,Lynn LLC Inc,1
851,"Rodriguez, Cox and Mullen LLC",1
852,income tax  Local wages,2
853,Paul Riddle,0
854,Baxter-Richardson PLC,1
855,Anderson-Smith Ltd,1
856,Padilla-Murphy and Sons,1
857,Wesley Conley,0
858,Waller Ltd and Sons,1
859,Terri Sanders,0
860,Gallegos Ltd Inc,1
861,Boyd and Sons Inc,1
862,Katie Clarke,0
863,employee plan sick pay x,2
864,b Employer identification number compensation,2
865,Miller and Sons Inc,1
866,Patrick Mendoza,0
867, State wages tips ,2
868,Ross Inc Ltd,1
869,Katherine Parks,0
870, State state ID number,2
871,Mendoza-Lopez Ltd,1
872,Matthews Ltd Inc,1
873,"Freeman, Patterson and Taylor LLC",1
874, Local  Local income,2
875,Duarte PLC Inc,1
876,"Fuentes, Pierce and Smith and Sons",1
877,Jessica Smith,0
878,Travis Ortiz,0
879,Hill-Sharp and Sons,1
880,Thomas Casey,0
881,William Sanchez,0
882,EIC payment Dependent care benefits,2
883,Teresa Stone,0
884,Holt Group and Sons,1
885,social security number Visit IRS,2
886, State state ID number,2
887,plans a See instructionsforbox ,2
888,Andrew Fitzgerald,0
889,Perez-Woods LLC,1
890,  G  Statutory,2
891,Greg Lucas,0
892,Jason Acevedo,0
893,Alyssa Williams,0
894,b employee plan sickpay X,2
895,Damon Valenzuela,0
896,Juarez Inc PLC,1
897,"Richardson, Wilson and Ward PLC",1
898,security number This information furnished,2
899,Dr. Nicholas,0
900,wages tips Medicare tax withheld,2
901,tax  Local  Local,2
902,e firstname initial Lastname ,2
903,Local  Local income tax,2
904,Stephanie Hernandez,0
905,Torres and Sons LLC,1
906,Ernest Edwards,0
907,Castro-Morgan Ltd,1
908,Gray-Walker Group,1
909,"Morales, Wang and Williams LLC",1
910,EIC payment Dependent care benefits,2
911,Ernest White,0
912,sick pay   Other,2
913,Joshua Duran,0
914,"Brown, Andersen and Taylor Group",1
915, Local wages tips etc,2
916,Megan Matthews,0
917,Jason Dudley,0
918,Samantha Brooks,0
919,Patel PLC Inc,1
920,Frank-Sanders Group,1
921,Julie Henry,0
922,file tax negligence penalty sanction,2
923,Advance EIC payment  Dependent,2
924,"Parsons, Farmer and Sanchez Inc",1
925,Walker-Duarte Inc,1
926,Parker Ltd PLC,1
927,Hayes Group Ltd,1
928,Crawford Group PLC,1
929,f address ZIP code ,2
930,Hernandez-Clark PLC,1
931,Joseph Wood,0
932,Lori Harvey,0
933,STATEMENT OMB No income taxable,2
934,Oconnor-Mendoza LLC,1
935,Rebecca Golden,0
936,Justin Hernandez,0
937,identification number compensation Federal income,2
