context,label
758408 -369941 38546 -476439 -297491 ,1
-1560 -5108 525 2664 ,0
9396755 2608 -1612335 -66138 ,0
541934852 -460943987 -80990865 ,1
12633645 5797028 -27081245 -27013764 15664336 ,1
-8962538 5756384 8330903 -11009769 ,0
-4716637 -2688060 12253724 -6305007 -542078 ,0
1173381 2825 -587049 ,0
-3636 -42527 78890 ,1
-27692294 48752193 -35059920 ,0
-1115482 -299793 492380 726495 ,0
-5709 -5784 588 8636 ,0
-6833756 4538436 -3935672 -2541695 -64861 ,0
53385 19260 -26590 -37784 -8271 ,1
-33473 -503 38508 ,1
-97661940 573820530 -205632276 ,0
33382461 51187677 -8457083 ,1
884578 5318594 -8051115 ,0
609493 23602 -633095 ,1
-15779725 -28341255 51762650 -17011573 54072204 ,0
-83270 44811 -20961 ,0
384932 -6507 -378425 ,1
-6325 949811 -486294 410702 -232202 ,0
-64123604 479293697 -368845300 ,0
47 -8651 9454 -1129 ,0
-3465520 -2426677 50482981 -22041674 640572 ,1
3652 -5660 71 ,0
5284 60645 -65929 ,1
-41251 43391 -2140 ,1
993 9694 -6273 -3323 ,0
68150809 61034709 -103758918 ,0
-29193 28772 43769 -4324 ,1
-4647691 -6452043 -4035317 10949418 ,0
-9954 685 8700 2647 ,0
-447030 -130493 971507 -715401 321417 ,1
6291239 -17436415 -32163913 27776466 -41091537 ,1
802094614 -177951940 -624142674 ,1
-535306894 1143514786 -594926604 399275626 ,0
27149 -51367 6407 ,0
7354 -21010 -617 ,0
539755 -139529 -538244 16343 -25414 ,1
-236830985 -46654822 440187355 263191859 ,1
85906580 -556630 16873504 -64984420 -11898759 ,0
-42202 7197 -60915 4170 91750 ,1
-30407120 -19012190 -19746755 ,0
-22993864 -49249904 4692504 ,0
-1451 -94 1030 1361 ,1
-160 6661 -5056 ,1
-75113 26157 -17917 33022 ,0
-1029696963 702320404 404519056 -1060783812 605180321 ,0
-1196017 3391491 3103917 -99591 ,0
-69562 19270 -20533 23215 32615 ,0
4703 6864 -1876 -3695 ,0
53692 -91543 84165 -1893 ,0
747 -2218 -640 -1650 4953 ,0
-8468342 451477354 -211414784 10437004 -2507963 ,0
-1015411 2630545 -1289825 -1126131 ,0
7152 -1632 6 -12 -5494 ,0
-94279 50374 92167 ,0
2843 -8137 620 -800 ,0
-4683 -2763 -224 11539 ,0
-1838 15487 -13749 ,1
2642823 5721663 -5751565 -5626028 3483518 ,0
9049 -27 -3776 2594 -7596 ,1
291630 -610408 24617 -598060 -329333 ,1
1889 -3705 1816 ,1
-177 -3299 782 -10522 6215 ,1
47722 53139 -504878 -425465 ,1
747 8380 -2924 966 -3578 ,0
20435737 -31185200 -14293056 581254 -1561748 ,0
-459988 54170910 315350347 -349061269 ,1
-29656709 54153389 -2449668 ,1
-62132382 6472721 57157662 -1498001 ,1
227 -789 -3689 4251 ,1
153707 -323751 578600 ,0
4978 481 -7378 ,0
79162107 -88446355 -703174719 ,1
629061 -48187643 -1283015 78570115 ,0
5557155 -2211123 438303 -3241996 ,0
-103157 279931 -656684 399398 ,0
377872 447417 -36707 -495788 -92794 ,1
-4629141 7056569 6318779 -8746207 ,1
588614314 -417732577 -795518428 ,0
627377 -312473 -70819 21933 ,0
-21218 -3669 599824 -236937 ,1
1011 -1 94 ,0
-2874314 -5875186 5390449 4036236 ,0
-17371784 20267441 -2895657 ,1
-45281 7464 19278 84782 -66203 ,1
-47857 46151 1706 ,1
9468 -42681 -92770 ,0
2969886 151933 -5517701 7382488 ,0
-49802 379752 -325280 1250115 -806565 ,1
-1135 -2800 3935 ,1
58443181 42328250 -18768272 -58754670 ,0
-2572687 -5215062 4526282 ,0
-320080 -752099 -465124 1078173 383382 ,0
352484 -93139 -259345 ,1
-218606868 57563538 141094597 -447320021 ,0
-27338 -442501 -875900 -603987 1025145 ,0
-8176 1605 1254 ,0
-65845 437681 -161193 -101739 ,0
-7142756 -5984190 48629055 -2109 ,1
-468966 -929932 -32861 307699 877247 ,0
-1300 4507 -6469 -6102 ,0
-157559481 20172442 -44164942 ,1
600653 -185 36788 -257885 510216 ,0
6096671 -4973015 -70032 -186197 4218972 ,0
-194897 2720269 1474628 ,1
-1052131 304893 648696 ,0
50430749 106191642 -58938163 -83209849 ,0
-4308875 6158000 6538762 -6808793 765341 ,0
74983 -64802 -10181 ,1
56144 -44172 63720 ,0
462830 850160 -491717 -543142 -78131 ,1
23957 11425 3449 -38831 ,1
825803 -6269784 -1988249 ,1
-370898 -5229954 8891775 -918767 ,0
1377755 50230 -27985 ,1
-519630 4938865 18833799 ,0
6370 -72091 8382 ,1
1093190 -249732 -84345 ,1
35007 29320 3672 -58520 -20714 ,0
640900 -355244 -285656 ,1
840 2146 -788 2468 2434 ,1
-18863883 -33905281 37979771 -68954697 ,0
-451687 -6132752 11792653 -4223209 1787502 ,0
74610207 -45863969 -28246238 ,1
-325926737 -672689503 631684215 -684165243 1051097268 ,1
8659200 -1045572 1261911 -5719014 -4070232 ,0
1413 22 -1819 97 -2713 ,1
-42710025 27395306 81352165 -66037446 ,1
3895578 -227963 6914620 -8530668 ,1
151590 -605024 359955 201987 568424 ,0
-14074 3579 33611 -9833 ,0
-4321 2305 2016 ,1
751 47244 -83919 ,0
-3202 -768 2494 -336 ,0
-9272351 962853 -35249206 -19557694 ,0
-10253 7198 94 4543 3303 ,0
4914 -6523 926 828 2593 ,0
-467074 -81612 382682 516498 -350494 ,1
-2500196 -1869340 -2414644 -1950672 8734852 ,1
44 -8426 5563 -1606 ,1
307850 433494 -402414 -38930 ,1
10908 -6493 -6644 -6172 -117 ,0
-35439291 48422833 -24751473 ,0
-859643 11187544 -2591108 ,1
-731012 348754 8303613 -1342244 ,1
-252612026 -131381644 47694023 ,0
465953525 -115676761 -9799524 429522760 ,1
281632 10099 443975 -644300 ,0
6992095 2244112 23922044 -108631455 35473204 ,1
12082 53880 -46233 3550 ,0
-69703 17975 8503 -43736 ,0
-86313 100744 -46896 -76022 105679 ,0
34862 189820 75717 -399 ,1
-172440029 534362233 -361922204 ,1
-14147 -30041 44188 ,1
-23109011 64759841 -72051519 -1042219 ,0
-2270 -9952 1361 39 7077 ,0
-343 -6055 174 8204 -460 ,1
-5862 -428 5367 -3980 6754 ,0
-2327319 1273400 -137851 ,0
-237104502 930902517 -693798015 ,1
15445 -63738 -63981 52477 59012 ,0
7534 -6296 -3238 ,1
-431761 -216807 238909 ,0
-4568 -5682 6714 -6358 9894 ,1
78455468 194462059 -272917527 ,1
74542 -626689 560143 ,0
73473752 21524421 69432203 -65820173 -98610203 ,1
-37880486 358460718 213808275 ,0
50611734 -35198905 21245972 ,0
-446209 -437070 -351728 40691 640058 ,0
31893 435 -89611 58234 -59552 ,0
80880917 -6373002 59508146 -54016061 ,1
-338186127 41109242 -739419893 98144054 ,0
-67802 21394 31745 -37692 52355 ,1
273173 -359870 -216229 -378386 ,0
-309427506 430475936 -121048430 ,1
2644 -3258204 -7006245 ,1
400673 6418018 -9153114 3815112 6717890 ,0
-1346004 -3771004 7824661 ,0
-28 -75 5378 -4817 ,1
565681 -45187 -520494 ,1
-22855856 -41209104 -2646403 9461777 -42831440 ,0
764346371 78750593 -782058268 -85490950 -375547746 ,1
3214 -1337 514 3090 2662 ,0
195 296 -237 ,0
-5267500 -44348197 27663797 69359407 ,1
5781646 -3702760 5780960 -3300709 -4559137 ,1
55 -227396 703084 -488620 290477 ,0
794 -962 -8517 5298 4317 ,0
-308 -246 9364 -4810 ,1
473592028 -612655358 -371407978 ,0
6154 81980 -25825 -4137 -22367 ,0
-910909 1604194 -7174258 -7579127 7972191 ,0
-33879 57514 31005 ,0
-2506 6015 -311 3496 -7470 ,0
91631219 -35867978 -55763241 ,1
-7729 2273 1441 -5418 9433 ,1
-1618 9311 -7294 -399 ,1
1542508 -3454667 -2804 ,0
-26684 25750 27823 29992 ,0
-752 -7132 -1958 9163 ,0
-168024 -17689 343922 ,1
9131 3766 -735 -570 ,0
907343 -71047 -348366 ,0
3091 -313 -9091 ,0
660916 -7502213 2833853 4007444 ,1
-437007232 -169118457 606125689 ,1
-40073284 -30844609 709178938 ,1
48284 8070 -81373 ,0
1640992 -103183 1835110 ,0
-7665 -5 -1063 5647 216 ,0
-48775971 -2998301 43219220 -64506700 ,0
-586467 544537 429559 -740769 ,0
-180142432 -261737605 -176425249 161360097 670425395 ,0
256605549 90127958 1105638622 -784033461 ,0
4388579 -736150 4719971 3850911 ,0
2038 11517 -2141 ,0
53129828 -587890267 728753085 ,0
-840834 465386 42519 ,0
-2449701 -39280104 71733512 -104279798 59302880 ,0
65277 -19039 -46238 ,1
-3929483 -37642822 4005774 ,0
-10588 -15958 -70457 20635 85939 ,0
-3227 60892 -3246 ,0
343774 -117759 -34233 -191782 ,1
766145 -1152121 -172150 ,0
-659409 1310313 -48650904 ,1
-1225 -9357 -561 7858 9549 ,0
-7859907 4800964 -6210608 9269551 ,1
934102 -370514 -49887 -129461 ,0
99616 -48071 -67681 -87842 103978 ,1
-6838209 -12205707 -4808811 -38469715 76227189 ,0
-42900502 -32274626 59742335 -14522621 -38635703 ,0
35819863 -769935986 835616075 -356290901 25479094 ,1
604338 -630243 391015 -185063 -180047 ,1
-1328 -411 -4013 5752 ,1
-72968203 -16436576 76875088 12529691 ,1
1864 5848 2233 -491 -1354 ,1
44373084 -86616427 13496525 -40798015 81442202 ,0
-118097357 661747356 -10205704 ,0
438 3815 -8198 ,1
-16572 66489 -57817 -32955 60803 ,0
-99242 -6486 3338630 889810 ,0
3660214 6453314 -10369796 -5813643 6069884 ,1
-46944439 -706227118 -228198071 333456597 ,0
25502436 66436189 -2519982 -113867137 ,0
88036 -42848 -12801 -232387 ,1
-6704018 48812544 71598501 -96048385 -7658642 ,1
69118 6699 -48654 -2999 55836 ,1
-5153 -71378 -8019 48967 81969 ,1
7011095 -9173168 -2689031 5491195 ,0
780837 -804125 -257780 97576 793817 ,0
-221097 -84269 -122963 -87841 ,0
-10018 5714 4304 ,1
-390731690 -319638765 -82617257 ,0
2211626 -68711608 22763833 47779419 -23947908 ,1
-1361331 -25722461 37569341 -13829171 383622 ,1
48573316 -49358265 -32424399 -40515433 ,0
-242062 22679 -337538 743322 -390516 ,1
-130822864 661210564 -1010306368 479918668 ,1
397555 -307343 -6911741 399867 -578338 ,1
-801534 -3470161 5599883 ,0
-6977 1107 5870 ,1
-1657173 7712042 -7114363 530103 -4470609 ,1
-2917886 -2868517 757082 4500585 528736 ,1
-3801327 2804361 -793767 3257205 -1466472 ,1
-430659482 656578370 507728178 358841422 ,0
-1504729 -73600148 11226275 63858702 ,1
564714 -1045561 -96899 746177 ,0
-1974 33523 -31549 ,1
7188 599 -921 ,0
76668 -18090 -58578 ,1
-3707 -4655 -11598 66697 5164 ,1
9942 -2748 913 -28200 ,0
-1720 4575 -2855 ,1
-54257106 96701042 -14394151 -70136360 101201090 ,0
-25091 -631 -27765 58487 ,1
10484829 83048943 -93533772 ,1
-149147775 331498543 -18235076 ,1
-7358 -305682 388211 -545376 530205 ,1
-1173508 -267782 3024018 ,0
-1560 44 4 ,0
1950591 -504334 -989071 ,0
9509 7844 -84619 -2734 ,1
-9047559 2617559 -34413771 -15660204 3776161 ,0
-248336 -5872252 -4900786 109128457 ,1
-11505004 -22864180 -26895538 ,0
104694 -3009689 9697206 -6792211 ,1
-7739348 126776 9152396 -6128746 1069556 ,0
-2490 5042 -2552 ,1
66210779 -94318707 -74731354 20178465 85660817 ,1
-362915131 -16235030 -339164192 718314353 ,1
1721 -3993 -3966 1578 ,0
874578 559598 -890404 -543772 ,1
-1944 -1 -4515 6255 562 ,0
-9135 486248 153788 ,0
-48635320 -61602103 57211219 3026204 ,1
81313 -680 -99182 44143 -42353 ,0
-1177167 3458683 -1349690 5476349 838068 ,0
-8085 4025 -9266 35852 ,0
-7682604 40036966 3196319 -35550681 ,1
76734166 29485035 -69605105 ,0
1224183 102883 -692664 -36181 -474438 ,0
-12275 54187 -41912 ,1
-1739942 917782 22160 ,1
-61257074 -54560787 40733606 65056671 ,0
-4687220 429106 8294185 -3492896 -543175 ,1
-467435 -133514 600949 ,1
-108027706 68328521 2881366 68942427 -4256671 ,0
-576922054 27902933 549019121 ,1
-132565995 -3857818 156423813 ,1
50102610 34053755 -38167339 -52078168 ,0
-28439623 14080055 -38427219 52786787 ,1
-52803283 37937908 -42024559 ,0
1011918 -7530440 1448945 5069577 ,1
-3072 -702 -1946 720 ,1
-479507 -5670713 6150220 ,1
-5064 6045 -3569 ,0
-72176 3340578 -1348107 326970 -224726 ,1
66467 -55014 17484 -742 ,0
5147229 -7532260 -43940037 ,1
-157750 88765 6898 ,1
-73790357 7571784 38014656 80461755 -62277838 ,1
-779554 115241 -13557 -197747 ,0
-642820 685991 -684890 -135771 777490 ,1
-18979 53166 36951 ,0
27587 21772 -39216 -39076 ,0
43217993 209201 -52427194 ,1
8770 1823 -1463 -7199 ,0
48375316 115263216 613805354 -7725650 ,0
-206764 430974 -293439 3211 -66570 ,0
7861529 -334982 -468573 -1840810 ,1
-61379 56429 6750 -7652 -45391 ,0
366937523 -5384470 -48644138 720153710 ,1
-158 -1345 7932 -5021 459 ,1
-63801983 -17635699 -4489240 23017117 ,0
-39437588 108934024 -22615167 ,0
-762830 1084037 -8492 -759169 ,0
2354 11359 540 -945 -6298 ,0
317216 43872 -245109 ,0
-78595475 -34578769 18734659 -43948378 90697598 ,0
-480507969 -40012722 392867911 -235684949 723452232 ,1
49230 -29215 16937 -36952 ,1
-80354055 -44574330 50858861 ,0
524837 -7451448 1227362 -1300751 ,1
94788 -53622 -24570 ,0
-565548 -184952 393073 -368878 ,0
-435347 -778985 829851 -199189 ,0
6046 -411 37146 ,1
-587851 -2680456 -5866628 8290935 -1776145 ,0
21268 -74031 64499 -441 ,0
-2363481 3464964 -1101483 ,1
-366144355 -578652412 -1869668 299274778 647391657 ,1
-3052841 3584614 -531773 ,1
-2708719 -7775466 5405254 38931 ,1
115310 -73666 -18739 -1982 -308 ,1
25622436 -7412915 267464892 ,0
93126944 -5145560 -7447726 ,0
5972 -4207 4571 -1109 3765 ,0
697584196 692033132 -887878856 -501738472 ,1
59802694 -75445796 3061074 46263757 -33681729 ,1
-23500 47 21030 221 -10448 ,0
-6375 -400 10376 ,1
-4060 8451 -996 1074 ,0
678640 -28806 -849981 674206 ,0
624115 130898 -146694 ,0
11223319 -54275956 5165531 ,0
-73914190 345098077 381678031 -605074678 -47787240 ,1
-38509 71774 -76511 ,0
-1758 -63184 -143252 -205822 982677 ,1
5517 -556 2558 -2515 ,1
742170 -840083 -24708 -66599 -405055 ,0
-46095 360273 533090 ,0
3577 5868 -3671 ,0
-99 -888 -149 1136 ,1
-65005167 9402552 55602615 ,1
7754 29243 -6470 -11024 -4553 ,0
-49292 -13018 132503 -722 ,0
263989172 286876421 195542336 -308954559 ,0
508 -3045 -341 ,0
-492299628 532490815 132233825 ,0
-44601 2 -9840 ,0
-197918677 305645397 -237771906 -407664484 240068663 ,0
93789 -25061 13507 ,0
-2829404 458315 8670831 ,0
-6414859 -4584865 44154556 -103805699 70650867 ,1
-44067879 -825927 -25328229 ,0
3172 4936 -108 ,1
-49412 -331775 895131 72713 -141942 ,1
8553 -22173 -5563 37920 31263 ,1
4088 2966 -8036 133 ,0
-46 -162 10490 -764 ,0
-370339587 -366664134 -321588536 ,0
-25807557 9687222 22702074 ,0
-15200450 -51047625 107452454 3002599 -71230375 ,1
-81855 92874 2302 -1332 ,1
-831 1682 -637 1893 ,0
-12218475 122265043 -1934224 -66354614 -24349707 ,1
-2614650 425875 752922 3851221 -2415368 ,1
7422 -6157 -6341 -2511 ,0
51233 6173 -57806 ,1
-19940 -44749 31784 32905 ,1
-303873 -8768713 -12247651 ,0
8013 -3131 -325 -3545 -524 ,0
318925580 513103434 -208451393 -350915112 -302454960 ,0
56158465 -226248663 -90920326 681619760 ,0
15580032 -107243339 -633491332 ,0
64978 -57610 -60690 ,0
-6776416 43564544 68200917 -74989045 ,1
100638520 -54327288 -74332415 69643590 ,0
-152385 -5898688 -27912986 -2006080 37970139 ,1
-10898 58063 70101 -43746 ,0
-703 -3683 -5 ,0
-79121595 -2900026 -6189540 67243226 ,0
-337059 -534456 871515 ,1
42932 -94757 -27411 84249 ,0
-420284 -603285 5498 282424 575951 ,0
-6114 6290 -176 ,1
63251 8325 -17683 -53893 ,1
4844839 -1972981 -408517 5424368 -4211054 ,1
7425783 -107266 -2018603 -59979 ,0
8115 -4800 -3315 ,1
2327 3955 -1540 ,0
-5116 -2585 6772 -798 -288 ,0
-813 871 -58 ,1
-4395 7006 3942 -3633 -3920 ,1
-15124648 -7639653 23770329 -100602 ,1
34247 -22759 -11488 ,1
-774920 735529 39391 ,1
2638116 39067357 -71410415 35883780 -217883 ,1
6132481 6364789 -2174440 -10322830 ,1
-78478 76941 64784 ,0
5837 -69025 223821 -430125 599492 ,1
-5116 64228 -65710 -4054 56702 ,1
-85229799 12603827 61820440 12393317 -1587788 ,1
80458116 61420511 -68273253 -73605374 ,1
1030815749 -486372808 -494545561 ,0
8059057 6513446 -4713899 -9858606 ,1
-4673 9214 5862 ,0
8545204 -2700671 -6263835 3884565 ,0
21326514 -606261908 -812754 -293889270 ,0
-179 -2678 -711 4568 ,1
-4164906 460395 84355630 -27291908 -16481414 ,0
175048290 -369723754 -685353259 810936531 -280782792 ,0
5102 -7665 -278 11128 -7392 ,0
-542 1887 -2534 ,0
790942939 -72824847 -663824404 ,0
-139167 -15758 -758199 531810 ,0
-266610 4417985 -439366 242293 ,1
40670 -2039 -45188 -12944 -58446 ,0
-73109 38704 57438 -3033 ,1
-1894 3241 -5546 5377 ,0
1559736 66141142 -91632960 -62328229 ,0
-27208541 7959523 -14157122 -28950531 ,0
-779993 1121803 -707617 ,0
35609032 68594177 2587769 -43715407 16424467 ,0
3386934 4428784 -123261 -2201385 ,0
6147283 -849226 605360 -5461418 ,0
-713 -88092 88805 ,1
-77561182 87091009 16391934 -25921761 ,1
-127301 -485209 -131138 73864 ,1
-9453 2293 27419 -2595 -6472 ,0
54587177 -75056510 -60254969 -6545703 ,0
721887 5220 -727107 ,1
886033 -603682 -282351 ,1
-7396 66483 -88349 95939 -56486 ,0
78636 -20846 -55790 ,1
-7786774 6495516 -4804076 ,0
-61984052 -6408761 68432813 ,1
-2103943 -489142 -306499 ,0
6066846 3837264 -1355245 -5656633 -187952 ,0
-542635328 -1627121 21038916 ,0
344139431 -31637924 216669866 32614 -96856345 ,0
-16809 -39909 -63100 4571 10534 ,0
-250126258 -937260335 925336514 ,0
7625356 4511297 -4905315 -2260657 -4970681 ,1
5731 -12 -5635 2915 6026 ,0
-73170 1534 52067 -48720 -2617 ,0
-3001039 -9333655 -2742111 7742078 ,0
5784 -10219 -820 3336 8919 ,1
8765601 -43971133 662014906 -651855238 ,0
-69995931 12710955 85512804 30545444 -58773332 ,1
588212 -798279 -730455 -188707 84966 ,0
-50367 9095 -20227 -365 ,1
-155832590 -18680202 495457824 -883139159 40432615 ,0
-385 -68274 1010155 -488026 ,1
-2075 2383 -8 ,1
-1737 -81 2309 -3569 3978 ,1
-19460660 38695095 -9143473 -68649227 99269332 ,0
-141831 99970 460624 -262350 -156413 ,1
9676 -9418 1078 -5000 ,0
22724 -14419 -830 ,1
8241055 -499815599 790161521 -298586977 ,1
-323820283 -468740972 792561255 ,1
-176207223 -348146666 524353889 ,1
14370 -3881 -18730 -5986 -54116 ,0
-577349921 -3740423 781090344 ,1
6583509 -163611 -2483738 3505115 -5968775 ,1
4497158 -7587241 -41762 954006 ,0
7086953 2278500 -1413152 -7952301 ,1
2013378 30233 -2443513 127798 ,1
5083178 364823 -5448001 ,1
90887 -1094990 332833 -280526 551796 ,1
-420067 834617 -482660 623040 -6459 ,0
-113401 -650608 683196 -666480 497298 ,0
793486554 -466266863 84143973 -95649658 -15684006 ,1
-1290 61983 -72597 ,0
-272133 -140900 -68738 481771 ,1
94 -6574 -3102 3255 ,0
-375014 818396 534731 -160967 -817146 ,1
-63183211 -12131844 675315055 ,1
-110712 531769 -105295 -363285 47523 ,1
-24866 41239 -6373 ,1
-15478002 -359173425 48848845 -367155535 662368612 ,0
-607073 47674 -539154 30475 349839 ,0
3028 -869 -2159 ,1
703127 -901711 198584 ,1
-758368669 606344933 -361639308 ,0
-454427 -205524 -247364 ,0
-4025045 10213663 4035204 -8020926 -2202896 ,1
32662598 67827041 -115388065 14898426 ,1
11428590 -236672131 80798580 -204680665 ,0
-130994 -363891 54618 -4749 ,0
-299375 216851 831779 -493950 ,0
52572 -52026 -23363 9740 -74591 ,1
69633 34627 -73341 -21514 -9405 ,1
-361686 -248445 987602 -377471 ,1
10039091 -5500354 -5550128 1011391 ,1
78849 -19603 -59246 ,1
-632 -5280 2712 ,1
-108215690 7451400 59519886 -10631966 56454188 ,0
57006 -90292 8841 -15017 ,0
203147 -36203 439207 -4233188 ,1
385148409 189703252 403237579 -873820992 -805844502 ,0
-477 -1263 9088 1841 -4887 ,1
-630604203 -245025376 602034674 273594905 ,1
-50252632 -18081550 -76168511 55637362 90865331 ,1
7140921 -6941724 -199197 ,1
5719 -9520 -1170 4971 ,1
-122030 2042261 1284340 ,0
4355221 1305174 -715435 -9063492 ,0
16653 82961 7079 -61976 ,0
-1829 1555 274 ,1
-8587 12106 -3519 ,1
915022792 -752200874 115618159 -278140077 ,1
-1751 -10824 4696 474 ,0
-3532467 -2041264 9934854 ,0
-2313 -551 9466 -602 ,1
-250703 -2855846 -3552146 891502 ,1
3895895 25918098 -59642891 -55878579 76667931 ,0
3373 -3283 -3629 ,0
-7167 -493 12103 ,1
-26245 -1539 92316 53 0 ,1
-2198 -69892 -26290 8380 ,1
-2875417 5071239 -2195422 ,1
-45813 -44493 -13063 70673 ,0
42956 -7173240 8604427 ,0
-778800 27532618 32741368 ,0
2739 6570 224 ,0
-1490766 2159912 -1951845 1375476 5262629 ,0
8562 -3351 135 5 -4489 ,0
276041 -353922 -168442 ,0
-34801802 -7084429 4989316 ,0
5439 -70957 15021 -18153 19699 ,1
4969739 -6809895 1311228 -3093309 458158 ,0
17176 -694548 -388154 -135702 140668 ,0
-35105 41361 22758 -164 ,0
-11006 -2005 1080 1530 6056 ,0
-40327912 52612547 -8073420 ,0
-122106890 38530750 38424450 45151690 ,1
571505509 315323310 -578892913 -699208433 ,0
-7037 8055 -51 -2395 9428 ,1
-139443103 361688467 862731569 -378767714 125951343 ,0
-16986 -5690 -10173 5323 ,0
5500053 -3168683 -3303118 971748 ,1
-246203052 -685347194 931550246 ,1
11172 -212 -675 -5285 ,1
-406989677 664077619 -155910431 -685385569 -224822475 ,0
-6353 -5486 9928 ,0
8074 -1100 -5981 5848 ,0
-144873 801627 -405882 395158 -972437 ,0
1481 -774 -211 -3301 5713 ,1
-69375 75635 86354 -92614 ,1
-5398 94036 -46002 53789 ,0
83059 9340 -51771 -990 -30723 ,1
382272 49278 -854316 422766 ,1
-37979769 -32073238 70053007 ,1
-4199 574170 -610587 156615 -78204 ,1
638092730 -352530897 -285561833 ,1
53780792 22647439 -16869212 -59559019 ,1
-4831 1878 192 ,0
21842 3234 -74709 ,0
-95507 -17679 50957 1944 -59715 ,1
-19380890 7366021 12014869 ,1
-825244 -3176231 24001975 ,1
-549055 -64358900 84314182 -68157323 51751096 ,1
-6342 5165 151 ,0
21099512 -62325713 8941561 -58964993 1249633 ,1
-117653269 51961710 55042675 25115471 ,0
455943 -105125 -2770771 -4256040 -573823 ,0
-402646666 19709590 -364241898 -68885490 638678146 ,1
603959 -637948 33989 ,1
998839971 -66226142 -924908797 469651085 -477356117 ,1
-15538565 13089808 -3045375 5494172 ,1
-24800 -121 9579 33359 ,1
413633014 -67593229 68242025 -916034879 ,0
4626 -1903 -5491 ,0
-6855 -1053 3170 -1019 ,0
883989 208781 -306250 ,0
-519279923 -288717238 807997161 ,1
4349 -3596 2323 -1507 2148 ,0
-883043 35977802 -4921924 28756984 ,0
-5295 6711 447 -2074 ,0
-43643 -569590 38325 979957 -528569 ,0
-4115395 11144011 -7028616 ,1
-703292 4063306 2639986 ,1
-6246136 -5776636 -295380 6628766 ,0
-4861469 190194 -7480972 ,0
42 8606 -4366 -132 -4649 ,1
8163 -2226 -722 ,0
-3770 -569 -528 ,0
5240518 3034158 -857462 -41721 ,1
-11946327 38014493 26938530 -53006696 ,1
57006 186 -32014 -14568 -79942 ,0
51738208 -12052049 -37691918 -34084176 -35718951 ,0
458944010 300772769 -51506601 -390507265 392334058 ,0
21 6284 -2195 -532 ,0
-265071 35399 155825 -44747 ,1
-3633448 -84993 5582725 ,0
-83438 33657 71206 ,0
-438 727656 66782 ,1
-1059 -2034 93 ,1
4049 -301 37488 ,0
314662 31996 289360 -804439 -541438 ,0
1043225 -576280 -466945 ,1
21850 51055 41162 -9249 ,0
-4800 10832 -46907 -28959 -766 ,1
40853 933853 -535563 233919 ,0
-3978671 2378977 1559694 ,1
-907300 512136 395164 ,1
777868 -467255 -24692 -373771 ,0
-5403533 -146984 -6344203 2125857 768863 ,1
-8209 287 -1910 5708 -3619 ,0
-49855479 63331731 6288372 -20664624 ,1
78831439 -248200063 149964178 335146142 ,0
-12383178 72414920 -10077433 -58914556 -3730232 ,0
336611480 -748764229 12152749 ,1
5982618 -5679865 -53885 -1759701 ,0
9839679 -9670592 -3062420 1783804 1409529 ,1
-21 1762 -1605 -1431 4282 ,0
90459355 60785987 -107007004 ,0
12478 -71 -4860 ,0
-1525 -768 229 ,1
-6577 -2406 9072 ,0
-38189 13396 47056 ,0
-9332 48219 10143 2333 -72651 ,1
-9823842 815429 19008413 ,1
62532316 64657633 -46681970 -65373559 ,0
