,context,label
98,E   Other enclosed,3
99,Cantrell Drive Apt.  Robertshire PA,2
100,Bell Light Lake Morganfurt IA,2
101,Russell Kelley,0
102,Winters Viaduct Apt.  East Natalie WI,2
103,Keep lower portion REISSUED social,3
104,Sandra Dean,0
105,Bond Group Ltd,1
106,Boone Mountain Port Crystal MT,2
107,James Via Apt.  Maryshire ME,2
108,Garrett-Gilbert Inc,1
109,Smith Cape Masseyfurt AR,2
110,"Wilson, Caldwell and Landry Ltd",1
111,nsew file b Employer identification,3
112,Local wages tips  Local,3
113,Wise-Russell Inc,1
114,"Gonzalez, Brown and Willis Inc",1
115,Barber Curve Port Bernardburgh SD,2
116,Laura Lawson,0
117,Copy Be Filed FEDERAL Tax,3
118,sickpay X   Other,3
119,Service Form Statement Copy Be,3
120,James Bray,0
121,Hunt-Davis Group,1
122,Amy Ports West Donnaville CT,2
123,Victoria Morales,0
124,Katie Green,0
125,OMB Use asev file b,3
126,Earl Taylor,0
127,wages Social security tax withheld,3
128,Stone Rue New Mauricechester MI,2
129,Armstrong PLC Ltd,1
130,Curtis Creek Apt.  Robertobury MS,2
131,Christopher Duncan,0
132,Tommy Rest Harperberg TN,2
133,Vanessa Christensen,0
134,Lang-Cooke Ltd,1
135, Local income tax ,3
136,Jimmy Griffin,0
137,Daniel Cooke,0
138,Dean Causeway Suite  Davidmouth TX,2
139,Amanda Blake,0
140,"Hodges, Kelly and Marquez Inc",1
141,John Scott,0
142,Williamson Pine Suite  East Keithville AK,2
143,Vasquez Stravenue Fernandezshire AZ,2
144,Flores Ltd Ltd,1
145,State income tax  Local,3
146, State  State income,3
147,  Other enclosed Notice,3
148,Lopez Group Ltd,1
149,tax withheld Social security tips,3
150,"Howell, Scott and Cox Ltd",1
151,Jarvis PLC Ltd,1
152,Bauer-Singh Inc,1
153,Tracey Village Beverlytown MD,2
154,Jones Inc Group,1
155,d D  f address,3
156,"Bell, Reyes and Yoder and Sons",1
157,Jessica Glens Gloriaborough NE,2
158,Michael Carroll,0
159,Russell Junctions Apt.  North Tammy MO,2
160,Ramirez Cliff Apt.  South Josephville KS,2
161,report b Employer identification number,3
162,Garrett Plains Robertsonburgh HI,2
163,Revenue Service Form Statement se,3
164,Hill-Sharp and Sons,1
165,Dominique Randolph,0
166,Johnson Landing New Timothyland AZ,2
167,"Webb, Stevens and Martinez Ltd",1
168,Garcia Mountains Rodneyview NH,2
169,Department Revenue Service Form Statement,3
170,Return This information furnished Internal,3
171,Melissa Manor Suite  North Kelsey OK,2
172,Archer-Collins PLC,1
173,Williams Loaf Byrdberg FL,2
174,Miss Samantha,0
175,Anna Price,0
176,number compensation Federal income tax,3
177,State wages tips  State,3
178,employee plan sickpay X D,3
179,e first name initial Last,3
180,Joel Pham,0
181,"Cortez, Williams and Gilbert and Sons",1
182,Joann Lopez,0
183,James Lane Apt.  Ashleyfurt HI,2
184,Donna Coves Kellybury CT,2
185,Stacy Cowan,0
186,Castillo-Torres Ltd,1
187,Case Ranch Apt.  West Joseph TN,2
188,tax  Local wages tips,3
189,Susan Wilson,0
190,Scott Track Blackborough CA,2
191,Guzman Loop Suite  North Robert LA,2
192,Sharp Cove Suite  Zavalaville CA,2
193,John Valley Suite  East Juanchester WV,2
194,withheld Social security tips Allocated,3
195,Christopher Village Suite  South Allison SC,2
196,Cruz Cove Snyderburgh AZ,2
197,Collins Alley Suite  Lake Isaactown AL,2
198,Joanna Ports Suite  South Alicia VT,2
199,Henderson Fork South Jonathan OK,2
200,Monica Norris,0
201,Miranda PLC Group,1
202,Susan Montgomery,0
203,code Social security wages Social,3
204,Miles-Howard and Sons,1
205,Richard Streets Suite  Port Williamhaven FL,2
206,Jeremy Walks Rosshaven SD,2
207,Advance EIC payment  Dependent,3
208,Steve Mall Port Mackenzieborough VA,2
209,tax  Local  Local,3
210,Thomas-Williams Inc,1
211,plan sickpay x H ,3
212,tax negligence penalty sanction may,3
213,Samantha Brooks,0
214,Rebecca Lee,0
215,"Mccarty, Austin and Phillips PLC",1
216,Christopher Ramos,0
217,Virginia Wyatt,0
218,Hannah Williams,0
219,Zachary Wright,0
220,  Other enclosed Notice,3
221,Jennifer Radial Suite  South Curtisberg WY,2
222,"Coleman, Odom and Evans Ltd",1
223,Elizabeth Marshall,0
224,Patty Roads Apt.  New Joshuatown RI,2
225,Thomas Curve Apt.  Loganborough ME,2
226,Tax  Department Revenue Service,3
227,Victoria Land West David HI,2
228,Kenneth Jenkins,0
229, Local income tax ,3
230,Webb Circle Apt.  Lake Amy RI,2
231,Wilkins Mountains Suite  Donaldville DC,2
232,Walker Gardens Apt.  Toddbury MI,2
233,Jessica Mckinney,0
234,Melissa Gardens Apt.  North Donald DC,2
235,Wayne Jensen,0
236,    Statutory,3
237,e firstname initial Last name,3
238,Mcneil Drive Apt.  New Tony AZ,2
239,Douglas Vista Suite  Kathleenburgh IA,2
240,Terry Inc and Sons,1
241,Michele Wood,0
242, State income tax ,3
243,"Brown, Boyd and Bernard Ltd",1
244,Williams Group LLC,1
245,"Nelson, Morton and Colon and Sons",1
246,Zachary Brook Lorraineland MI,2
247,Cisneros-Gonzalez Ltd,1
248, Department Revenue Service Form,3
249,box   P ,3
250,Raymond Ray,0
251,Garcia Shoals Suite  Brownstad ME,2
252, State income tax ,3
253,Reynolds Ltd Inc,1
254,"Norris, King and Ward and Sons",1
255,identification number compensation Federal income,3
256,wages Social security tax withheld,3
257,a See instructions box ,3
258,Karen Martin,0
259,Jennifer Woods,0
260,Federal income tax withheld ,3
261,tax  Local wages tips,3
262,Hodges-Lopez and Sons,1
263,sick pay x E ,3
264,"Cook, Dawson and Ochoa and Sons",1
265,Reid-Espinoza Ltd,1
266,Sanders Group Inc,1
267,Reyes-Hill LLC,1
268,Victoria Stewart,0
269,Brenda Orchard Apt.  Lake Alexandra UT,2
270,Benjamin Parkways Port Tammy AL,2
271,income taxable fail report b,3
272,Mercado-Reynolds and Sons,1
273,Paul Gardner,0
274,Angela Sawyer,0
275,Kayla Morales,0
276,Jeffrey Escobar,0
277,wages tips etc  Local,3
278,Kyle Ortiz,0
279,benefits   e first,3
280,Heidi Schmitt,0
281,Caroline Harris,0
282,Medicare wages tips Medicare tax,3
283,Amber Koch,0
284,Porter and Sons LLC,1
285,Mcdaniel PLC PLC,1
286,Revenue Service Form Statement se,3
287,Kevin Vista Apt.  Port Tyler IL,2
288,income tax withheld c ZIP,3
289,Walter Perry,0
290,  Other enclosed Notice,3
291,Brett Fields,0
292,Erin Plains East Brianberg CA,2
293,Locality name Wage Tax ,3
294,"White, Garner and Allen Ltd",1
295,Christian Armstrong,0
296,John Yates,0
297,Dudley Manor Apt.  Noblehaven NE,2
298,Crystal Tunnel Suite  Hallland OR,2
299,"Hurley, Brewer and Anderson LLC",1
300,Coffey Street Ingramview NY,2
301,Rebecca Mountains Lake Ericton VA,2
302,Stephanie Dean,0
303,"Hudson, Goodman and Martinez and Sons",1
304,  Other enclosed Notice,3
305,Advance EIC payment Dependent care,3
306,Andrea Johnson,0
307,Hamilton-Thompson and Sons,1
308,security number This information furnished,3
309,Foster PLC LLC,1
310,Joseph Watson,0
311,Jenny Frye,0
312,a See instructions forbox ,3
313,Ramos Heights Suite  Jensenburgh NE,2
314,Mike King,0
315,Johnson Group and Sons,1
316,David Matthews,0
317,James Point Port Heather VT,2
318,Novak Stream Port Kevinville NJ,2
319,Kelly Hills Suite  Stoneside PA,2
320,Larry Row Suite  South Ericton NJ,2
321,Billy Forge South Ericview PA,2
322,Webster Trail Port Jeremychester ME,2
323,Jennifer Burgs New Hannahborough VT,2
324,Summers Pass Suite  Woodburgh MO,2
325,Ramos LLC Group,1
326,"Casey, Mcfarland and Gibson Group",1
327,Susan Castro,0
328,Matthew Phelps,0
329,"Freeman, Gomez and Wright Ltd",1
330,Charles Knolls Suite  South Mistyborough MD,2
331,  State state ID,3
332,tips Control number Advance EIC,3
333,identification number compensation Federal income,3
334,David Herrera,0
335,Local  Local income tax,3
336,Johnson Harbors Suite  Thomasmouth NV,2
337,Use nsew file b Employer,3
338,Locality name Wage Tax ,3
339,tips Control number Advance EIC,3
340,compensation Federal income tax withheld,3
341,payment  Dependent care benefits,3
342,OMB No income taxable fail,3
343,Sarah Key Apt.  Brownchester GA,2
344,tax withheld Social security tips,3
345,Garcia Meadows Apt.  Jessicafort VT,2
346,Cook-Rivera Group,1
347, Department Revenue Service Form,3
348,file b Employer identification number,3
349,"White, Romero and Patel PLC",1
350,security number This information furnished,3
351,ZIP code  State state,3
352,Dixon-Cruz LLC,1
353,Jeffery Spur Franklinbury UT,2
354,number Advance EIC payment Dependent,3
355,  G  ,3
356,Social security tax withheld Medicare,3
357,IRS Website STATEMENT OMB Use,3
358,Dependent care benefits  ,3
359,Franklin Group Group,1
360,James Wilson,0
361,James Grove East Mariah VA,2
362,John Harris,0
363,Cardenas-Mora PLC,1
364,Steven Hernandez,0
365,Wilkinson Mall Suite  North Lisa WV,2
366,John Bell,0
367,Jamie Snyder,0
368,Perez Stravenue Andrewview NH,2
369,Brent Alexander,0
370,Tammy Taylor,0
371,Black-Miller PLC,1
372,Nicole Club Apt.  West Loristad ND,2
373,compensation Federal income tax withheld,3
374,Lisa Webb,0
375,STATEMENT OMB Use nsew file,3
376,Spears Ltd and Sons,1
377,Conner Pike Suite  East Victoria VT,2
378,Espinoza Glen Suite  Elizabethchester NY,2
379,Jose Turnpike New Elizabethstad CO,2
380,Smith LLC Group,1
381,sanction may imposed STATEMENT OMB,3
382,Bass PLC Group,1
383,"Solomon, Ward and Stephens and Sons",1
384,Hall Radial Apt.  Port Trevormouth NE,2
385,Megan Dixon,0
386,security wages Social security tax,3
387,Connor Scott,0
388,James Green,0
389,benefits   e first,3
390,Judith Villages Knightfurt NJ,2
391,Katherine Parks,0
392,Lisa Ellis,0
393,furnished Internal Revenue If required,3
394,Soto-Jackson PLC,1
395,Matthew Sutton,0
396,e first name initial Last,3
397,Service Form Statement Copy Be,3
398,Mclaughlin Rapids Lake Josephberg IN,2
399,"Moreno, Burns and Wilkinson PLC",1
400,James Wyatt,0
401,Ruiz-Nelson Inc,1
402,Hall Mill Lake Morganview MI,2
403,Michael Terry,0
404, Department Revenue Service Form,3
405,Mary Dickerson,0
406,Russell Smith,0
407,Ryan Key Suite  Tracyberg KS,2
408,Henry Davis,0
409,firstname initial Last name ,3
410,"Jones, Reese and Lawson Ltd",1
411,Allocated tips Control number Advance,3
412,tips Control number Advance EIC,3
413,Aguilar-Mcmillan PLC,1
414,ZIP code P  ,3
415,Robert Gill,0
416,Lisa Martinez,0
417,Tax  Department Revenue Service,3
418,Erin Inlet Suite  New Alec AL,2
419,Hubbard Pass Chenbury SD,2
420,Castaneda-David and Sons,1
421,Lynn Ford Mooreside NH,2
422,Justin Hernandez,0
423,Joel Swanson,0
424,Horn Station Suite  East Peterfurt AK,2
425,"Hall, Mills and Jones Group",1
426,Wade Cape Suite  South Monicaberg IA,2
427,Mendez-Walker and Sons,1
428,"Nichols, Sweeney and Carey and Sons",1
429,Michael Well Gregoryhaven OH,2
430,William Sanchez,0
431,Carl Lakes Suite  Antonioborough GA,2
432,Wilson and Sons Group,1
433,Dylan Berger,0
434,Logan Parkway Apt.  West Janefort AR,2
435,Vickie Gibson,0
436,State state ID number ,3
437,ZIP code Social security wages,3
438,Jodi Reid,0
439,Sandra Spencer,0
440,"Ramirez, Martin and Dyer LLC",1
441,Advance EIC payment Dependent care,3
442,John Osborne,0
443,E  d G ,3
444,STATEMENT OMB Use b Employer,3
445,Michelle Mall East Angelica NJ,2
446,Jessica Bean,0
447,state ID number  State,3
448,John Lozano,0
449,Vincent Haven South Jeffrey TN,2
450,Internal Revenue If required file,3
451,Arnold Underpass Lake Sarahtown DC,2
452,etc  State income tax,3
453,"Aguilar, Richards and Nichols PLC",1
454,Internal Revenue Cut Keep lower,3
455,Elizabeth Wells,0
456,Melissa Crawford,0
457,Aguirre Ltd and Sons,1
458,Gail Miller,0
459,Shaw and Sons Group,1
460,Edwin Miller,0
461,Jennifer Lewis,0
462,Parks Avenue Suite  Denisechester AK,2
463,Davis-Smith Inc,1
464,Zhang-Sanchez LLC,1
465,ZIP code  State state,3
466,Kristopher Drive East Danielport SC,2
467,Preston Ltd Group,1
468,Social security tax withheld Medicare,3
469,Harris Inc LLC,1
470,code  State state ID,3
471,Erin Ayala,0
472,Dependent care benefit  ,3
473,Marc Walker,0
474,Harris Isle New Patriciastad ME,2
475,Catherine Taylor,0
476,Campbell Park Bestfort NV,2
477,Bailey LLC Group,1
478,"Snyder, Harding and Montoya PLC",1
479,Taylor-Salinas Inc,1
480,Sarah Perez,0
481,taxable fail report b Employer,3
482,Lisa Haven Andrewshire NV,2
483,King Heights Lake Alberttown DE,2
484,"Villegas, Hill and Stephens LLC",1
485,Return This information furnished Internal,3
486,Matthew Fisher,0
487,initial Last name  Nonqualified,3
488,Beth Fernandez,0
489,"Walker, Mcpherson and Chen Group",1
490,Glenn Keith,0
491, d D  f,3
492,Kimberly Miller,0
493,Price Inc PLC,1
494,Lori Harvey,0
495,Department Revenue Service Form Statement,3
496,tax withheld Medicare wages tips,3
497,Stephanie Estates Garciaburgh DE,2
498,tips etc  State income,3
499,Fisher LLC LLC,1
500,"Spears, Cisneros and Taylor and Sons",1
501,Dependent care benefits  ,3
502,Jennifer Meyers,0
503,Lastname  Nonqualified plans a,3
504,tips Control number Advance EIC,3
505,wages tips Medicare tax withheld,3
506,Bradley Forks Suite  South Johnport MD,2
507,"Snyder, Osborne and Davis LLC",1
508,Statutory Retirement b employer plan,3
509,Freeman-Rodgers LLC,1
510,Blanchard PLC Inc,1
511,Felicia Greens Dixonfurt OK,2
512,Phillip Neal,0
513,Taylor Jimenez,0
514,withheld Medicare wages tips Medicare,3
515,Melissa Rice,0
516,Paul Ports Apt.  Hudsonbury KS,2
517,Tony Adams,0
518,Sara Cortez,0
519,"Mcdowell, Anderson and Shea Group",1
520,Rhodes LLC and Sons,1
521,Meredith Land Torreschester RI,2
522,Mccoy-Jackson Inc,1
523,report b Employer identification number,3
524,ID number  State ,3
525,Murray-Pearson Group,1
526,Heather Love,0
527,Baker-White and Sons,1
528,Mark Islands Apt.  East Kristinfurt CT,2
529,Hayes Camp Annaview SD,2
530,Christopher Arias,0
531,Bell Skyway Suite  Eatonchester FL,2
532,Kim Ports Suite  Wilsonborough RI,2
533,Julie Glens Suite  North Heather MT,2
534,Gregory Hart,0
535,Beth Nicholson,0
536,social security number nsew file,3
537,Notice c d  f,3
538,b Employer identification number compensation,3
539,Sarah Brandt,0
540,E   State state,3
541,Richard Martin,0
542,"Walker, Patel and Mccarty Group",1
543,Juan Wade,0
544,wages Social security tax withheld,3
545,Nicole Moyer,0
546,Kelsey Fork West Christy IN,2
547,security tax withheld Medicare wages,3
548,Mary Perry,0
549,Revenue Cut Keep lower portion,3
550,Melanie Hardin,0
551,  Statutory Retirement b,3
552,Lopez-Kelley and Sons,1
553,Rodriguez Inc Group,1
554,Robinson PLC Ltd,1
555,Janet Common Suite  Davisborough ME,2
556,Cochran Harbors Apt.  New Javier MI,2
557,Jeffrey Anderson,0
558,Control number Advance EIC payment,3
559,Andrews-Fields Group,1
560,Horn Group Inc,1
561,name Wage Tax  Department,3
562,Michelle Hicks,0
563,d D  f address,3
564,Holloway Courts Suite  Port Spencer RI,2
565,Brown-Hardin PLC,1
566,"Martin, Finley and Adams Group",1
567,Phillips Mountains Apt.  Brownbury NV,2
568,Greene-Bush and Sons,1
569,Social security tax withheld Medicare,3
570,Frederick Nichols,0
571,withheld Medicare wages tips Medicare,3
572,state number  State wages,3
573,Dale Logan,0
574,Leslie Olson,0
575,Kara Overpass Suite  South Ryanburgh OK,2
576,"Parsons, Kennedy and Weber and Sons",1
577,"Murphy, Oliver and York Inc",1
578,Ricky Boyer,0
579,tax withheld c ZIP code,3
580,Michelle Springs Lake Teresa FL,2
581,Tonya Sanchez,0
582,Jacqueline White,0
583,Tracy Jones,0
584,"Aguilar, Grant and Cox PLC",1
585,"Manning, Mccann and Guerrero Inc",1
586,Tyler Bowman,0
587,Valerie Harbors Yuville CA,2
588,Patricia Rapids Apt.  North Morgan UT,2
589,"Cook, Torres and Graham Group",1
590,enclosed Notice c D ,3
591,Christian Paul,0
592,Le-Brown PLC,1
593,ID number  State ,3
594, State state ID number,3
595,Brittany Taylor,0
596,Brittney Rhodes,0
597,number Rise v file Visit,3
598,state ID number  State,3
599,Stewart-Hernandez PLC,1
600,Jeffrey Passage Smithstad AK,2
601,state ID number  State,3
602,Christie Drives Suite  West Meganland NM,2
603,This information furnished Internal Revenue,3
604,Romero-Woods LLC,1
605, State state ID number,3
606, Other enclosed Notice c,3
607,Crawford PLC Ltd,1
608,Valerie Glens Taylorborough AR,2
609,Best-Ryan and Sons,1
610,"Grant, Duncan and Schmitt Ltd",1
611,Carlos Ridges Lake Thomas TX,2
612,Whitney Serrano,0
613,Arias Junctions Suite  North Geraldstad CO,2
614,Charles Collins,0
615,  Statutory Retirement b,3
616,Joy Ridges Apt.  Toddtown MT,2
617,Hudson Ltd and Sons,1
618,Kathryn Hill,0
619,Julie Walks Apt.  Joelside ME,2
620,Thomas Green,0
621,Kim Jackson,0
622,Thomas Flores,0
623,Brown-Macdonald LLC,1
624,Clark-White LLC,1
625,Laurie Young,0
626,Lori Shore Jenniferberg MT,2
627,Wise-Blake PLC,1
628,sickpay E   Other,3
629,tax  Locality name DO,3
630,Sean Mission West Williamside CO,2
631,Paul Riley,0
632,Dustin Sandoval,0
633,fail report b Employer identification,3
634,Gabrielle Taylor,0
635,Melanie Islands Suite  Joelside PA,2
636,Sarah Smith,0
637,George Robles,0
638,Joshua Plaza Suite  West Michael ND,2
639,Gabriela Mendoza,0
640,Olson LLC and Sons,1
641,Walker Ramp Warrenville VT,2
642,Jenna Torres,0
643,security number Visit IRS Website,3
644,tips Control nun Advance EIC,3
645,Davis-English PLC,1
646,Bradley Davis,0
647,David Ltd and Sons,1
648,  Statutor Retirement b,3
649,"West, Ramirez and Taylor Ltd",1
650,Johnson Cove New Codyview ND,2
651,Jessica Williams,0
652,Kevin River Suite  East Leslieburgh MN,2
653,Rebecca Well Emmachester VT,2
654,Robert Forks Hughesmouth AR,2
655,Robert Hensley,0
656,Johnson LLC and Sons,1
657,Statutor Retirement b employer plan,3
658,Richard Branch Petersonview KS,2
659,Castro Well West Anna NJ,2
660,Garcia Circles Lunaville MI,2
661,Roy Ltd and Sons,1
662,"Thomas, Glenn and Price LLC",1
663,Deborah Mueller,0
664,Priscilla Hernandez,0
665,Cochran Pike Apt.  South Timothy UT,2
666,Keep lower portion REISSUED social,3
667,H   Statutor Retirement,3
668,Kennedy Falls Apt.  Emmaburgh WV,2
669,Michael Moreno,0
670,Baker LLC Group,1
671,"Kelley, Ortiz and Bailey Group",1
672,Sheryl Spur Apt.  Lorimouth DC,2
673,withheld Medicare wages tips Medicare,3
674,Veronica Points Apt.  South Daniel LA,2
675,Ronald Island Johnbury CO,2
676,Robles Fork Dianefurt SC,2
677,Local income tax  Locality,3
678,"Morales, Wang and Williams LLC",1
679,Nonqualified plans a See instructionsfor,3
680,Gallegos Ltd Inc,1
681,Alexander Inc LLC,1
682,"Armstrong, Duncan and Estrada Group",1
683,Stevens-Martinez Group,1
684,Ramirez Ltd Inc,1
685,Cut Keep lower portion REISSUED,3
686,This information furnished Internal Revenue,3
687,Brian Price,0
688,Taylor Trace Apt.  New Markberg VA,2
689,Tina Conner,0
690,Estrada Views Suite  East Albert AL,2
691,"Santos, Phillips and Nelson PLC",1
692,Eric Salazar,0
693,James-Proctor Group,1
694,imposed STATEMENT OMB income taxable,3
695,Patricia Estates Wolfeland KY,2
696,Judy Ridges East Jonathon TN,2
697,Ryan Rosales,0
698,Olivia Clark,0
699,income tax withheld c ZIP,3
700,Mosley-Myers and Sons,1
701,"Romero, Walker and Collins LLC",1
702,d D  f address,3
703,"Barnes, Jacobs and Burke PLC",1
704,Ruiz Fall Paulberg ID,2
705,Department ofthe Revenue Service Form,3
706,Jessica Payne,0
707,Delgado LLC and Sons,1
708,State  State income tax,3
709,Steven Woodard,0
710,Anderson-Conner Group,1
711,Hayes Group Ltd,1
712,Murray-Johnson Inc,1
713,negligence penalty sanction may imposed,3
714,Jacobs Creek Apt.  Jasonberg ID,2
715,Jones-Gibson Inc,1
716,Anthony White,0
717,"Turner, Anderson and Austin PLC",1
718,Davis Hills Apt.  South Justintown WI,2
719,"Harmon, Wang and Rodriguez and Sons",1
720,Martinez-Martinez Group,1
721,Medicare wages tips Medicare tax,3
722,"Chandler, Moore and Grant Inc",1
723,See instructions box  ,3
724,Charles Crane,0
725,Santos-Jones Ltd,1
726,"James, King and Murray Ltd",1
727,Mcguire-Levine Inc,1
728,compensation Federal income tax withheld,3
729,Wilson Inc LLC,1
730,Boyd Key Suite  West Michael OK,2
731,"Choi, Moore and Marquez and Sons",1
732,Munoz-Mack LLC,1
733,Gary Islands Apt.  Sandraport UT,2
734,Johnson LLC PLC,1
735,"Nunez, Turner and Kane LLC",1
736,Jared Lutz,0
737,"Hobbs, Cooper and Brown Ltd",1
738,Raymond West,0
739,Stanley Pacheco,0
740,Jamie Khan,0
741,Roberts-Wu and Sons,1
742,number Visit IRS Website STATEMENT,3
743,Perez Rue Suite  Lake Travisstad WY,2
744,William Bridge Apt.  Lake Angela ND,2
745,James Station Apt.  South Joshua MT,2
746,Ray Roads Shannonmouth RI,2
747,REISSUED social security number Visit,3
748,Jacob Streets Suite  Ballardland MO,2
749,"Baker, Cunningham and Boone PLC",1
750,Stephanie Unions Jeffreystad HI,2
751,Steve Maxwell,0
752,a See instructions box ,3
753,John Row Jaimeshire UT,2
754,Miller Points Apt.  Michaelmouth HI,2
755,Foley Valleys North Anitatown PA,2
756,David Allen,0
757,Turner Ville West Mercedes WV,2
758,Wright Cliff Apt.  Bentonside MS,2
759,Hansen PLC Inc,1
760,Susan Spring Apt.  Aguilartown IN,2
761,Patricia Cliffs Apt.  Lake Brianna IN,2
762,Jeremy Wagner,0
763,Ryan Pike Suite  Tinafort AZ,2
764,Renee Grove Kingmouth KS,2
765,Nicole Mountains Florestown NE,2
766,Bryan Mews South Jeremy IL,2
767,Hanna-Allen Inc,1
768,Benjamin Forks Apt.  West Amandamouth MD,2
769,Scott Moore,0
770,Brittany River Suite  East Valerie OR,2
771,file b Employer identification number,3
772,Elizabeth Fork Apt.  Kirstenmouth OH,2
773,Frank Medina,0
774,Johnson Glen Apt.  Mosleyhaven GA,2
775,"Gardner, Li and Rivers PLC",1
776,Gabrielle Heath,0
777,Jason Dudley,0
778,Jones-Hamilton PLC,1
779,Employer identification number compensation Federal,3
780,Miranda Wolfe,0
781,Webb Ranch Apt.  New Zachary NM,2
782,security number This information furnished,3
783,Carlson-Thompson Group,1
784,benefit   e firstname,3
785,Valdez Square Suite  Dustinview AR,2
786,Teresa Stone,0
787,Sean Pine Rebeccaville MO,2
788,"Johnson, Rodriguez and Chan LLC",1
789,Juan Blackwell,0
790,Hale Inc Inc,1
791,"Davis, Davidson and Brown PLC",1
792, Statutory Retirement b employee,3
793,Christopher Loop Apt.  Port Robert DE,2
794,Blevins Drives Suite  Mahoneyside CO,2
795,Pamela Orchard Apt.  East James KY,2
796,Shannon Wall Port Gary WA,2
797,Amanda Dawson,0
798,David Coves South Tara MD,2
799,Madison Novak,0
800,Michele Glen Suite  Hardytown LA,2
801,"Chavez, Moore and Myers Group",1
802,Timothy Smith,0
803,"Horton, Roberts and Meyer and Sons",1
804,Morgan-Henson Inc,1
805,e firstname initial Last name,3
806,Hall Forges Suite  Kingland HI,2
807,Vaughn Group Inc,1
808,Park-Cruz PLC,1
809,security number This information furnished,3
810,Tax  Department Revenue Service,3
811,Golden and Sons Inc,1
812,James Smith,0
813,number compensation Federal income tax,3
814, Localityname Wage Tax ,3
815,Hernandez-Lopez Ltd,1
816,Nunez-Francis and Sons,1
817,name  Wage Tax ,3
818,Michael Rasmussen,0
819,number  State wages tips,3
820,Hannah Curve Suite  Fletcherborough FL,2
821,Simpson Summit Apt.  Christinefort KY,2
822,Rebecca Ellis,0
823,   Other enclosed,3
824,"Rice, Davis and Haney PLC",1
825,Be Filed FEDERAL Tax Return,3
826,Mr. Shane,0
827,Mitchell-Huang and Sons,1
828,Alexander Curve Apt.  New Catherinebury WI,2
829,Watkins Drives Apt.  New Maryville ND,2
830,Nonqualified plans a See instructions,3
831,Retirement b employee plan sickpay,3
832,Rodriguez-Sanchez Inc,1
